location_num,x,y,district,province,images,year,month,day,avg_certainty,avg_percent_coverage,avg_percent_coverage_high,n_labelers,water_source_mode,log_coverage
5171443,28.660033271151875,-15.106764009109046,Chisamba,Central,3,2023,9,16,5,0.31963613135796326,0.2781376866609782,1,TRUE,0.2773560405354632
5171605,24.06408919135864,-15.102835914386796,Luampa,Western,1,2016,6,30,1,0,0,1,FALSE,0
5171629,24.482392768826912,-15.107879807500575,Luampa,Western,1,2023,7,24,1,0,0,5,FALSE,0
5171681,26.994404945936,-15.121895855277318,Mumbwa,Central,1,2017,8,24,5,0.0609523163488454,0.0609523163488454,1,TRUE,0.059166916443636586
5171733,27.48766817386869,-15.121369981189444,Mumbwa,Central,2,2020,10,25,1,0,0,1,FALSE,0
5171807,28.306566467614388,-15.11812069033494,Chibombo,Central,4,2017,10,20,2.25,0.019865895628852,0.01701845278873705,1,TRUE,0.019671143778926384
5172235,28.59505055125187,-15.125307688987036,Chisamba,Central,5,2023,9,16,1.6,0.0057221449803984805,0.0035305327366344204,1,TRUE,0.005705835695295483
5172318,22.596495991381016,-15.097060519388853,Kalabo,Western,1,2023,7,30,1,0,0,1,FALSE,0
5172505,27.422557407795736,-15.139582869312395,Mumbwa,Central,1,2020,10,25,1,0,0,1,FALSE,0
5172878,27.26433978019812,-15.148864505144363,Mumbwa,Central,4,2024,6,18,2,0.015085681603287375,0.003054939149657325,1,FALSE,0.014973024303670502
5172961,28.092695607716585,-15.14637452678233,Chibombo,Central,3,2018,10,14,4.666666666666667,0.10358680176068896,0.10358680176068896,1,TRUE,0.09856560402950407
5173114,22.54972991497331,-15.114179222947923,Kalabo,Western,2,2023,7,30,1,0,0,1,FALSE,0
5173661,27.320215144363733,-15.166874115334938,Mumbwa,Central,2,2020,9,22,4.5,1.197245514524076,1.197245514524076,1,TRUE,0.7872045370560855
5173708,27.757713758684982,-15.165828369141524,Chibombo,Central,1,2018,8,26,3,0.0564902050410363,0,1,FALSE,0.05495228689141949
5173780,28.427822947701724,-15.162580854991011,Chongwe,Lusaka,2,2021,8,17,5,36.2706476617589,36.2706476617589,1,FALSE,3.6182060909028
5173882,22.716398629110888,-15.13544197718982,Kalabo,Western,2,2023,9,9,3.5,0.8596068507918697,0.8596068507918697,1,TRUE,0.620365094841203
5174895,28.0929278918455,-15.191571726460833,Chibombo,Central,3,2016,8,12,1,0,0,5,FALSE,0
5174936,28.48384657502192,-15.189334517296723,Chongwe,Lusaka,3,2021,8,17,5,0.984883678605285,0.6647345186469263,1,FALSE,0.6855603122232462
5175078,23.74690654746986,-15.179751877008147,Mongu,Western,1,2018,7,4,1,0,0,1,FALSE,0
5175163,26.798882059635428,-15.203175929010122,Mumbwa,Central,2,2023,9,19,2.75,0.043515619363431846,0.043515619363431846,2,TRUE,0.04259541566787908
5175291,28.2139849876629,-15.19999078267183,Chibombo,Central,5,2024,7,11,1.8,0.04784552163889632,0.04709357566706648,1,FALSE,0.04673617201763781
5175374,29.302748500964363,-15.19148275098246,Rufunsa,Lusaka,1,2024,6,7,1,0,0,1,FALSE,0
5175916,27.236496106101,-15.221223508813663,Mumbwa,Central,2,2024,6,18,1,0,0,1,FALSE,0
5176033,28.33510352847364,-15.217382567551628,Chibombo,Central,5,2021,9,14,4.8,0.3880123126397482,0.3757994339323927,1,FALSE,0.3278727328231842
5176771,28.595864989725435,-15.233758409495271,Chongwe,Lusaka,4,2023,7,31,2.5,0.07055521039553578,0.020302032196055825,1,FALSE,0.06817740211800044
5177167,28.903091923808528,-15.240401312082314,Rufunsa,Lusaka,1,2017,10,31,3,0.0349457686729985,0.0349457686729985,1,FALSE,0.034349027927147016
5177437,28.13049852321312,-15.2546628563466,Chibombo,Central,6,2024,7,11,1.8333333333333333,0.14721448703660747,0.11846190616035644,1,FALSE,0.13733681895346977
5177453,28.27946974384289,-15.253862486248943,Chibombo,Central,8,2021,9,14,5,0.879670441729423,0.8300500100429765,1,FALSE,0.6310964645231167
5178070,27.599780615963017,-15.274791252075378,Shibuyunji,Central,5,2023,10,7,1.8,0.01917536172437214,0.01917536172437214,1,FALSE,0.01899383141127487
5178132,28.18646528135288,-15.272452444140823,Chibombo,Central,8,2024,7,11,1.25,7.23960863949125e-4,7.23960863949125e-4,1,TRUE,7.236989306948527e-4
5178135,28.21439983362432,-15.272302768493685,Chibombo,Central,2,2024,7,11,5,0.16817553784258885,0.0754107646421524,1,FALSE,0.1554431623625294
5178244,22.64921180539044,-15.24237701620678,Kalabo,Western,3,2023,7,30,1,0,0,1,FALSE,0
